"Begrundelse","Proportion"
"Andet",0.11
"Jeg ved ikke rigtig, hvad der er at se i Danmark",0.05
"Jeg har besøgt venner eller familie i udlandet",0.15
"Jeg foretrækker at holde ferie andre steder end Danmark",0.16
"Jeg vil gerne opleve nye smagsoplevelser i mine ferier, og som jeg ikke kan få i Danmark",0.17
"Jeg får mere værdi for pengene ved at holde ferie i udlandet",0.19
"Det var tilfældigt, at jeg ikke holdt ferie i Danmark",0.19
"Det minder for meget om hverdagen at holde ferie i Danmark",0.20
"Jeg vil gerne opleve en anden natur, end den der er i Danmark",0.25
"Vejret i Danmark er for ustadigt – der er fx ingen sol- eller varmegaranti om sommeren",0.32
"Jeg vil gerne opleve en anden kultur i mine ferier",0.36
